review_text,rating
많은 구매수와 좋은 구매평이 왜 있는지 납득이 갑니다. 말 그대로 세미와이드에 어울리는 핏이라 생각되구요. 편하게 잘 입을거 같습니다!! 제 신체치수에 기장도 딱입니다!,5
"처음에는 그냥 편하게 입을 슬랙스 하나 찾다가 구입했는데 받아보고 입어보니 생각보다 훨씬 마음에 들었어요. 허리 밴딩이라 앉았다 일어날 때 답답함이 없고, 하루 종일 입고 있어도 편안합니다. 핏은 세미 와이드라서 너무 퍼지지도 않고, 그렇다고 붙지도 않아서 체형 보완이 잘 돼요. 다리가 길어 보이는 느낌도 있고, 티셔츠부터 셔츠까지 웬만한 상의랑 다 잘 어울려서 활용도가 높습니다. 원단은 살짝 얇은 편이라 여름이나 간절기에 딱 입기 좋고, 겨울에는 안에 이너를 입어야 할 것 같아요. 세탁할 때 블랙이라 물빠짐이 조금 있어서 초반에는 단독 세탁을 추천드려요. 전체적으로 가격 대비 퀄리티도 좋고 자주 손이 가는 바지라 만족스럽습니다. 특히 출근할 때도 무난하고 주말에 캐주얼하게 입어도 어색하지 않아서 다용도로 입기 좋아요.",5
"세미 와이드 밴딩 슬랙스는 가격 대비 완성도가 상당히 높습니다. 허리에 히든 밴딩이 들어가 있어서 장시간 착용해도 불편함이 없고, 앉았다 일어나도 복부를 조이지 않아 편안해요. 세미 와이드 핏이라 다리가 길어 보이면서도 너무 퍼지지 않아 깔끔한 실루엣을 유지합니다. 원단은 주름이 잘 가지 않고, 적당히 힘이 있어 포멀하면서 캐주얼한 코디 모두 잘 어울립니다. 특히 기본 티셔츠나 셔츠랑 매치하면 깔끔한 데일리룩 완성. 기장도 만족해요 전반적으로 가성비, 핏, 착용감 모두 만족스러운 슬랙스예요.",5
최고지 뭐 3년만에 다시삼 너무 좋아요 가격이며 핏이며,5
편하고 사이즈도 잘 맞고 예쁩니다. 잘 입다가 재구매하겠습니다.,5
고무줄 밴드타입이라 배가 편하고 장시간 차를탈일이 있어서 입고갔는데 넝수 좋았네요. 검은색인데 너무 츄리닝같지않은 장점이 있어 격식있는자리에 검은쟈켓만 입고 갔습니다.,4
아주까맣고 비치치도않고 편해서 국밥템이 따로없네요 강추에요,5
기모 라지 사이즈를 주문했는데 기장이 103이더라구요 혹시 기모라서 더 큰 사이즌건지.. 여튼 품질은 좋아서 잘 입고 다니겠습니당,5
기모라 따뜻하고 편하게 입을 수 있어서 좋습니다,5
기장이 다소 짧은 감이 있지만 가격대비 퀄리티가 상당합니다.,5
처음 구매해보는데 사이즈 적당하고 좋네요 잘 산것같아요!,5
밴딩처리되어 있어서 입었을 때 너무 편하고 좋아요.,5
가격대비 퀄 좋습니다. 기모도 하나 사야겠네요. 아무데나 입기 좋습니다,5
가성비 좋은 바지입니다 편하게 입을 수 있습니다,5
너무 편하고 이뻐서 재구매했습니다.. 기모라서 따뜻하고 핏도 이쁘고 너무 만족합니다.,5
너무 편하고 이뻐서 재구매했습니다.. 기모라서 따뜻하고 핏도 이쁘고 너무 만족합니다.,5
몇년 전까지 최애 바지로 많이 입고 다녔었고 같은 제품인지는 정확하게 기억이 안나지만 리뉴얼이 한 번 됐전 걸로 기억하는데 그 때 구매해서 입었다가 처음보다는 만족도가 낮아서 한동안 안입었어요. 이번에 재구매해서 입어보니 처음 입었을 때와 동일한 촉감 핏이더라구요. 제 기분이 문제일 지도 모르겠지만 어쨌든 처음 매우 만족했던 그 느낌을 받아서 다시 많이 입는 바지가 될 것 같아요.,5
기모버전이라서 두께감이 꽤 있고 튼튼한 원단입니다. 상상했던 재질이 아니긴한데 따뜻하게 입을 수 있을 것 같습니다.,5
바지길이가 적당하고 무엇보다 아들이 핏을 맘에 들어해요 이 바지는 사계절버전 기모버전 두개 다 가지고 있을정도로 좋아하네요,5
"완전 만족스! 재질, 길이감, 핏 다 마음에들어요! 기존템완전강추!",5
주로 봄 가을 입고다니기 편하겠네요. 집에서도 아주편하게 입을수있고 아주 깔끔합니다. 기모타입은 좀 무게감이 있네요.,5
주로 봄 가을 입고다니기 편하겠네요. 집에서도 아주편하게 입을수있고 아주 깔끔합니다. 기모타입은 좀 무게감이 있네요.,5
밴딩으로 되어있어 정말 편한 세미와이드핏 바지입니다. 일반 버전은 좀 얇은데 기모버전은 따뜻해서 좋아요,5
밴딩으로 되어있어 정말 편한 세미와이드핏 바지입니다. 일반 버전은 좀 얇은데 기모버전은 따뜻해서 좋아요,5
밴딩으로 되어있어 정말 편한 세미와이드핏 바지입니다.,5
밴딩으로 되어있어 정말 편한 세미와이드핏 바지입니다.,5
입어보니 너무 잘 어울리고 이뻐요 계속 입게되요 따듯하고 좋아요!!,5
생각보다 얇았지만 하늘하늘하니 스포티해 보이고 좋습니다. 기장은 제 키에 수선이 불필요할 만큼 적절합니다. 매일 편하게 입기 좋습니다. 전체샷은 방이 좁아 어려우니 양해 바랍니다.,5
괜잖은거같습니다 논기모잘입다가 갑자기 추워져서 기모를 구입햇는데 모양은 쪼금 덜이쁜데 따뜻하네요 좋아요 다른색상도 사야하나,4
"좋아하는 바지예요. 생각나는 바지예요. 사이즈는 업해야 해요. 사이즈가 작아진듯 해요. 밑위,힙이 좀 작게 나왔어요. 주머니가 벌어지면 진짜 보기싫거든요. 평소 L을 입는데 XL로 입으니까 골고루 이쁜 핏이 나오네요. 키가 크신분들은 기장이 좀 길어도 신발에 밟히진 않겠어요. 제가 171인데 3센치 굽에 발등을 덮는 길이예요",5
"좋아하는 바지예요. 생각나는 바지예요. 사이즈는 업해야 해요. 사이즈가 작아진듯 해요. 밑위,힙이 좀 작게 나왔어요. 주머니가 벌어지면 진짜 보기싫거든요. 평소 L을 입는데 XL로 입으니까 골고루 이쁜 핏이 나오네요. 키가 크신분들은 기장이 좀 길어도 신발에 밟히진 않겠어요. 제가 171인데 3센치 굽에 발등을 덮는 길이예요",5
